id;title;type;release_year;age_certification;runtime;genres;production_countries;seasons;imdb_id;imdb_score;imdb_votes;tmdb_popularity;tmdb_score
tm64817;Jerry Seinfeld: I'm Telling You for the Last Time;MOVIE;1998;G;75;['comedy', 'documentation'];['US'];;tt0500140;7.9;5879.0;5.822;7.6
ts22039;H;SHOW;1998;TV-MA;25;['comedy'];['FR'];4.0;tt0173554;7.4;1727.0;7.905;7.6
tm188606;Sankofa;MOVIE;1993;;124;['drama', 'european'];['DE', 'GH', 'GB', 'US', 'BF'];;tt0108041;7.0;692.0;1.858;6.5
tm41525;Herod's Law;MOVIE;1999;R;123;['comedy', 'crime', 'thriller'];['MX'];;tt0221344;7.8;6035.0;10.506;7.9
tm189171;Wild Tango;MOVIE;1993;R;124;['drama', 'music', 'romance'];['ES', 'AR'];;tt0108291;6.7;1584.0;5.092;6.1
tm63514;The Last Days;MOVIE;1998;PG-13;87;['drama', 'history', 'war', 'documentation'];['US'];;tt0174852;7.9;4378.0;3.766;7.8
tm21911;Sam Kinison: Live in Vegas;MOVIE;1991;;72;['comedy', 'music', 'documentation'];['US'];;tt0249934;6.6;276.0;656;6.0
tm188970;Bill Hicks: Revelations;MOVIE;1993;;74;['comedy', 'documentation'];['GB'];;tt0152183;8.5;3098.0;3.784;8.1
tm12876;Bombay;MOVIE;1995;;141;['drama', 'romance'];['IN'];;tt0112553;8.1;12629.0;4.99;7.2
ts224786;Escalona;SHOW;1991;TV-MA;44;['drama'];['CO'];1.0;;;;7.352;7.6
tm62176;Mann;MOVIE;1999;;174;['drama', 'romance'];['IN'];;tt0206921;6.1;5451.0;2.595;6.7
tm52871;Soldier;MOVIE;1998;;156;['thriller', 'action', 'drama', 'romance'];['IN'];;tt0211634;6.2;3063.0;3.623;5.7
tm8687;Sam Kinison: Family Entertainment Hour;MOVIE;1991;;49;['comedy'];['US'];;;;;1.84;6.1
tm104933;Sinbad: Son of a Preacher Man;MOVIE;1996;;56;['comedy', 'documentation'];['US'];;tt0938333;6.8;116.0;1.536;5.8
tm184326;Damini;MOVIE;1993;;175;['drama', 'crime'];['IN'];;tt0106655;7.8;3523.0;3.328;7.3
tm62385;Hum Saath Saath Hain;MOVIE;1999;G;177;['romance', 'family', 'fantasy', 'drama'];['IN'];;tt0216817;6.2;8552.0;7.865;6.0
tm191614;Destiny;MOVIE;1997;;136;['drama', 'history', 'comedy', 'romance'];['FR', 'EG'];;tt0119629;7.1;2857.0;3.287;6.7
tm110766;Chronicle of a Disappearance;MOVIE;1996;;88;['drama'];['PS', 'US', 'FR', 'DE'];;tt0115895;6.9;733.0;2.099;6.7
